actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.197916179895401
0.15276455879211426,0.1967378705739975
0.15529286861419678,0.1955641210079193
0.15776026248931885,0.19440858066082
0.1601690798997879,0.19325624406337738
0.15519747138023376,0.19204846024513245
0.1531791090965271,0.19085174798965454
0.1467219442129135,0.18963722884655
0.13588865101337433,0.18836306035518646
0.12945690751075745,0.18706774711608887
0.11864502727985382,0.18571972846984863
0.10351292043924332,0.1842873990535736
0.0841178223490715,0.18275001645088196
0.06923216581344604,0.1811201125383377
0.05006934329867363,0.17938418686389923
0.026684356853365898,0.17751286923885345
0.003488851711153984,0.17550185322761536
0.0,0.17339666187763214
0.0,0.1711348444223404
0.0,0.16867117583751678
0.0,0.1660330593585968
0.0,0.16324420273303986
0.0,0.16031551361083984
0.0,0.15725186467170715
0.0,0.15405598282814026
0.0,0.15075178444385529
0.0,0.14732229709625244
0.0,0.1437678039073944
0.0,0.1401538848876953
0.0,0.13266074657440186
0.0,0.128820538520813
0.0,0.1248914897441864
0.0,0.12091495096683502
0.0,0.11691824346780777
0.0,0.11287157237529755
0.0,0.10880682617425919
0.0,0.10475806146860123
0.0,0.1006903350353241
0.0,0.0966348871588707
0.0,0.09258735179901123
0.0,0.0885540023446083
0.0,0.08452650159597397
0.0,0.08054027706384659
0.0,0.07665558159351349
0.0,0.07290185242891312
0.0,0.0693054124712944
0.0,0.06582831591367722
0.0,0.062466271221637726
0.0,0.059214502573013306
0.0,0.056068986654281616
0.0,0.053057774901390076
0.0,0.050143733620643616
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12669803202152252
0.0,0.12564663589000702
0.00997406430542469,0.1247430071234703
0.022319070994853973,0.12394494563341141
0.043141577392816544,0.12331925332546234
0.05925390496850014,0.1228262335062027
0.075090691447258,0.12246047705411911
0.09938178211450577,0.12228036671876907
0.11894083023071289,0.12225218117237091
0.1294858455657959,0.12230388820171356
0.15294551849365234,0.12252797931432724
0.1629919409751892,0.12282594293355942
0.17725719511508942,0.12322323024272919
0.19132819771766663,0.12372159212827682
0.20085477828979492,0.12428116798400879
0.20590564608573914,0.12487033754587173
0.2109055519104004,0.12548819184303284
0.22021591663360596,0.12616300582885742
0.2207016497850418,0.12683340907096863
0.22556547820568085,0.12752579152584076
0.2260282337665558,0.1282120943069458
0.22215233743190765,0.12886148691177368
0.21835651993751526,0.12947198748588562
0.20591920614242554,0.12997670471668243
0.20239366590976715,0.13045020401477814
0.1858556866645813,0.1307956874370575
0.17391927540302277,0.13104462623596191
0.1577950268983841,0.1311732530593872
0.13753558695316315,0.13115355372428894
0.11754992604255676,0.13098400831222534
0.09782540798187256,0.13067322969436646
0.07399089634418488,0.1301947385072708
0.04609508067369461,0.12951919436454773
0.018543172627687454,0.128652423620224
3.7017241993453354e-05,0.1276651918888092
0.0,0.1263367384672165
0.0,0.12477368116378784
0.0,0.12295160442590714
0.0,0.12090656906366348
0.0,0.11877861618995667
0.0,0.11631094664335251
0.0,0.11367390304803848
0.0,0.11084069311618805
0.0,0.1078173816204071
0.0,0.10473841428756714
0.0,0.10134702920913696
0.0,0.09777811914682388
0.0,0.09407279640436172
0.0,0.09023349732160568
0.0,0.08629602938890457
0.0,0.08226185292005539
0.0,0.0781342089176178
0.0,0.07404368370771408
0.0,0.0700528547167778
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12185004353523254
0.0,0.11960524320602417
0.0,0.11750540137290955
0.0,0.1155477836728096
0.0,0.11372792720794678
0.0,0.11204124242067337
0.0,0.11047939211130142
0.0,0.10907527059316635
0.0,0.107820525765419
0.0,0.1067100390791893
0.0,0.10573970526456833
0.0,0.10490456223487854
0.0,0.10416857153177261
0.0,0.10349589586257935
0.0,0.1029140055179596
0.0,0.1024240255355835
0.004526791628450155,0.1020188108086586
0.014730039983987808,0.10169795900583267
0.024763567373156548,0.10145875811576843
0.030275912955403328,0.1012958213686943
0.031334370374679565,0.10117744654417038
0.036721475422382355,0.10106954723596573
0.037659935653209686,0.10100367665290833
0.03857304900884628,0.10094481706619263
0.04817967116832733,0.1008935496211052
0.05328323692083359,0.10091333836317062
0.06266822665929794,0.10097108781337738
0.05884190648794174,0.101096972823143
0.050709523260593414,0.1011924222111702
0.03832881897687912,0.10122617334127426
0.030473140999674797,0.1011679619550705
0.027074240148067474,0.10105209797620773
0.019349420443177223,0.10091273486614227
0.01607506535947323,0.1007191613316536
0.012827565893530846,0.10050560534000397
0.013964492827653885,0.10026995837688446
0.006347143556922674,0.10004851222038269
0.0031744157895445824,0.0997745469212532
2.2924399672774598e-05,0.09948195517063141
0.0,0.09917131066322327
0.0,0.09884413331747055
0.0,0.09846676886081696
0.0,0.09807261824607849
0.0,0.09763279557228088
0.24316257238388062,0.09717825800180435
0.24158048629760742,0.19848677515983582
0.240006223320961,0.19868288934230804
0.238438680768013,0.1988612711429596
0.2412363886833191,0.19902756810188293
0.23962022364139557,0.19921569526195526
0.23801171779632568,0.19938868284225464
0.23641033470630646,0.19955219328403473
0.23481501638889313,0.1997029185295105
0.2332252711057663,0.19983984529972076
0.23164063692092896,0.19996751844882965
0.22570110857486725,0.20000000298023224
0.21546685695648193,0.19938354194164276
0.2053537666797638,0.19938445091247559
0.19535592198371887,0.19930067658424377
0.18110856413841248,0.19915196299552917
0.16702581942081451,0.19890356063842773
0.15309925377368927,0.1985558122396469
0.13932135701179504,0.19811339676380157
0.12132584303617477,0.19758133590221405
0.10352461785078049,0.19692689180374146
0.08154941350221634,0.1961558312177658
0.06416923552751541,0.19523437321186066
0.03823497146368027,0.1942058950662613
0.012577012181282043,0.19300392270088196
0.0,0.19163824617862701
0.0,0.19007989764213562
0.0,0.18836447596549988
0.0,0.18646135926246643
0.0,0.18438240885734558
0.0,0.1821000576019287
0.0,0.17961736023426056
0.0,0.1769741028547287
0.0,0.17420732975006104
0.0,0.17125670611858368
0.0,0.168117493391037
0.0,0.16483965516090393
0.0,0.16148889064788818
0.0,0.15806154906749725
0.0,0.1545310765504837
0.0,0.15089978277683258
0.0,0.1471719592809677
0.0,0.1433420181274414
0.0,0.13948450982570648
0.0,0.13556601107120514
0.0,0.13161717355251312
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.1967477947473526
0.0,0.19416393339633942
0.0,0.1916828453540802
0.0,0.18934006989002228
0.0,0.18713980913162231
0.0,0.18506783246994019
0.0,0.18307732045650482
0.0,0.18113493919372559
0.0,0.17927129566669464
0.0,0.1774825006723404
0.0,0.17573334276676178
0.0,0.17405611276626587
0.0,0.17240992188453674
0.0,0.17076915502548218
0.0,0.16912466287612915
0.0,0.1674833595752716
0.0,0.1659073680639267
0.0,0.16435979306697845
0.0,0.16284289956092834
0.0,0.16131970286369324
0.09990354627370834,0.1597568839788437
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
